subject,accuracy
1,93.33
2,80.83
3,63.33
4,46.67
5,80.00
6,74.17
7,72.50
8,85.00
9,73.33
10,58.33
11,55.83
12,59.17
13,67.50
14,72.50
15,83.33
16,67.50
17,82.50
18,75.83
19,40.83
20,65.83
21,59.17
22,85.83
23,59.17
24,72.50
25,85.00
26,45.83
27,63.33
28,81.67
29,69.17
30,93.33

mean_accuracy,70.44
std_accuracy,13.57
train_time_s,21.05
