subject,accuracy
1,92.5
2,77.5
3,53.333333333333336
4,34.166666666666664
5,70.83333333333333
6,66.66666666666667
7,65.0
8,85.83333333333333
9,64.16666666666667
10,50.0
11,52.5
12,47.5
13,55.833333333333336
14,69.16666666666667
15,79.16666666666667
16,62.5
17,72.5
18,70.83333333333333
19,40.0
20,57.5
21,54.166666666666664
22,72.5
23,66.66666666666667
24,62.5
25,82.5
26,43.333333333333336
27,56.666666666666664
28,80.83333333333333
29,65.83333333333333
30,91.66666666666667
mean_accuracy,64.81
std_accuracy,14.65
train_time_s,14.06
