subject,accuracy
1,95.00
2,76.67
3,70.00
4,49.17
5,79.17
6,71.67
7,75.83
8,82.50
9,70.00
10,66.67
11,54.17
12,62.50
13,68.33
14,77.50
15,86.67
16,66.67
17,80.83
18,75.00
19,30.00
20,62.50
21,58.33
22,85.00
23,59.17
24,59.17
25,88.33
26,43.33
27,70.00
28,85.00
29,70.83
30,93.33

mean_accuracy,70.44
std_accuracy,14.68
train_time_s,12.61
avg_epoch_time_s,0.5506
early_stopped_epoch,11
mean_inference_time_per_trial_s,0.000010
