subject,accuracy
1,84.16666666666667
2,69.16666666666667
3,48.333333333333336
4,28.333333333333332
5,56.666666666666664
6,62.5
7,60.0
8,77.5
9,60.0
10,43.333333333333336
11,48.333333333333336
12,44.166666666666664
13,55.833333333333336
14,61.666666666666664
15,78.33333333333333
16,57.5
17,60.833333333333336
18,71.66666666666667
19,33.333333333333336
20,62.5
21,53.333333333333336
22,62.5
23,70.0
24,55.0
25,72.5
26,45.0
27,55.0
28,70.0
29,65.0
30,83.33333333333333
mean_accuracy,59.86
std_accuracy,13.47
train_time_s,14.11
