subject,accuracy
1,94.16666666666667
2,73.33333333333333
3,45.833333333333336
4,25.0
5,68.33333333333333
6,70.0
7,61.666666666666664
8,80.83333333333333
9,64.16666666666667
10,44.166666666666664
11,45.833333333333336
12,45.0
13,50.0
14,63.333333333333336
15,79.16666666666667
16,55.833333333333336
17,70.83333333333333
18,68.33333333333333
19,36.666666666666664
20,42.5
21,48.333333333333336
22,77.5
23,58.333333333333336
24,48.333333333333336
25,66.66666666666667
26,35.833333333333336
27,61.666666666666664
28,81.66666666666667
29,61.666666666666664
30,91.66666666666667
mean_accuracy,60.56
std_accuracy,16.90
train_time_s,12.33
