subject,accuracy
2,71.67
3,69.17
4,52.50
5,75.00
6,75.83
7,70.00
8,85.83
9,68.33
10,64.17
11,51.67
12,60.83
13,70.83
14,70.00
15,69.17
16,62.50
17,80.00
18,66.67
19,35.83
20,65.83
21,55.00
22,72.50
23,52.50
24,70.00
25,80.83
26,47.50
27,66.67
28,76.67
29,61.67
30,90.00

mean_accuracy,66.87
std_accuracy,11.70
train_time_s,9.00
avg_epoch_time_s,0.3262
early_stopped_epoch,15
mean_inference_time_per_trial_s,0.000027
