subject,accuracy
1,90.00
2,70.00
3,65.83
4,46.67
5,79.17
6,71.67
7,65.00
8,88.33
9,75.00
10,65.00
11,56.67
12,56.67
13,67.50
14,80.00
15,90.83
16,65.83
17,80.00
18,74.17
19,35.00
20,59.17
21,53.33
22,77.50
23,45.83
24,83.33
25,84.17
26,51.67
27,66.67
28,90.00
29,73.33
30,93.33

mean_accuracy,70.06
std_accuracy,14.89
train_time_s,12.74
