subject,accuracy
1,82.50
2,60.00
3,48.33
4,40.83
5,60.00
6,65.83
7,58.33
8,67.50
9,55.00
10,40.83
11,51.67
12,50.00
13,58.33
14,65.00
15,76.67
16,64.17
17,54.17
18,62.50
19,34.17
20,60.83
21,57.50
22,58.33
23,60.83
24,44.17
25,78.33
26,35.00
27,57.50
28,67.50
29,55.00
30,92.50

mean_accuracy,58.78
std_accuracy,13.15
train_time_s,21.99
avg_epoch_time_s,0.5425
early_stopped_epoch,29
mean_inference_time_per_trial_s,0.000028
