subject,accuracy
1,93.33333333333333
2,74.16666666666667
3,50.0
4,32.5
5,69.16666666666667
6,68.33333333333333
7,63.333333333333336
8,84.16666666666667
9,62.5
10,46.666666666666664
11,51.666666666666664
12,45.833333333333336
13,52.5
14,70.0
15,79.16666666666667
16,62.5
17,70.83333333333333
18,69.16666666666667
19,41.666666666666664
20,58.333333333333336
21,55.0
22,74.16666666666667
23,67.5
24,57.5
25,77.5
26,43.333333333333336
27,60.0
28,80.83333333333333
29,65.83333333333333
30,92.5
mean_accuracy,64.00
std_accuracy,14.81
train_time_s,11.40
