subject,accuracy
1,94.16666666666667
2,66.66666666666667
3,50.0
4,32.5
5,71.66666666666667
6,66.66666666666667
7,64.16666666666667
8,79.16666666666667
9,65.0
10,45.833333333333336
11,49.166666666666664
12,45.833333333333336
13,54.166666666666664
14,67.5
15,80.0
16,60.0
17,71.66666666666667
18,71.66666666666667
19,39.166666666666664
20,55.833333333333336
21,54.166666666666664
22,75.0
23,63.333333333333336
24,47.5
25,72.5
26,39.166666666666664
27,59.166666666666664
28,80.83333333333333
29,65.0
30,93.33333333333333
mean_accuracy,62.69
std_accuracy,15.27
train_time_s,12.20
