subj,acc
1,87.5
2,80.83333333333333
3,74.16666666666667
4,55.0
5,81.66666666666667
6,70.0
7,66.66666666666667
8,88.33333333333333
9,76.66666666666667
10,62.5
11,58.333333333333336
12,60.833333333333336
13,66.66666666666667
14,80.0
15,83.33333333333333
16,70.83333333333333
17,74.16666666666667
18,74.16666666666667
19,34.166666666666664
20,59.166666666666664
21,53.333333333333336
22,82.5
23,59.166666666666664
24,74.16666666666667
25,88.33333333333333
26,55.0
27,65.83333333333333
28,86.66666666666667
29,70.0
30,95.83333333333333
31,86.66666666666667
32,50.0
33,80.83333333333333
34,62.5
35,76.66666666666667
36,82.5
37,87.5
38,91.66666666666667
39,55.0
40,88.33333333333333
41,91.66666666666667
42,60.0
43,75.83333333333333
44,57.5
45,70.0
46,85.83333333333333
47,90.0
48,56.666666666666664
49,68.33333333333333
50,61.666666666666664
51,85.83333333333333
52,95.83333333333333
53,58.333333333333336
54,77.5
55,65.0
56,72.5
57,60.0
58,70.83333333333333
59,87.5
60,73.33333333333333

elapsed_time_sec,4476.57
