subj,acc
1,90.83333333333333
2,79.16666666666667
3,61.666666666666664
4,44.166666666666664
5,81.66666666666667
6,70.83333333333333
7,74.16666666666667
8,85.83333333333333
9,77.5
10,63.333333333333336
11,55.0
12,65.0
13,66.66666666666667
14,84.16666666666667
15,84.16666666666667
16,72.5
17,83.33333333333333
18,71.66666666666667
19,35.0
20,56.666666666666664
21,54.166666666666664
22,85.0
23,60.833333333333336
24,72.5
25,95.0
26,50.833333333333336
27,67.5
28,85.83333333333333
29,65.83333333333333
30,95.83333333333333
31,91.66666666666667
32,52.5
33,82.5
34,63.333333333333336
35,78.33333333333333
36,77.5
37,90.83333333333333
38,93.33333333333333
39,51.666666666666664
40,84.16666666666667
41,90.0
42,60.0
43,80.0
44,57.5
45,78.33333333333333
46,92.5
47,91.66666666666667
48,54.166666666666664
49,67.5
50,65.83333333333333
51,89.16666666666667
52,92.5
53,56.666666666666664
54,71.66666666666667
55,62.5
56,70.0
57,55.0
58,70.0
59,89.16666666666667
60,73.33333333333333

elapsed_time_sec,2818.37
