subj,acc
1,90.83333333333333
2,67.5
3,60.0
4,45.0
5,69.16666666666667
6,65.83333333333333
7,64.16666666666667
8,73.33333333333333
9,65.83333333333333
10,46.666666666666664
11,53.333333333333336
12,48.333333333333336
13,59.166666666666664
14,79.16666666666667
15,80.83333333333333
16,69.16666666666667
17,75.0
18,64.16666666666667
19,31.666666666666668
20,71.66666666666667
21,40.833333333333336
22,75.0
23,54.166666666666664
24,65.0
25,87.5
26,38.333333333333336
27,56.666666666666664
28,85.83333333333333
29,65.0
30,93.33333333333333
31,81.66666666666667
32,44.166666666666664
33,79.16666666666667
34,61.666666666666664
35,70.83333333333333
36,68.33333333333333
37,80.0
38,90.83333333333333
39,46.666666666666664
40,76.66666666666667
41,81.66666666666667
42,58.333333333333336
43,73.33333333333333
44,59.166666666666664
45,62.5
46,87.5
47,89.16666666666667
48,53.333333333333336
49,60.833333333333336
50,53.333333333333336
51,84.16666666666667
52,91.66666666666667
53,44.166666666666664
54,68.33333333333333
55,59.166666666666664
56,57.5
57,51.666666666666664
58,60.833333333333336
59,87.5
60,66.66666666666667

elapsed_time_sec,1793.71
