subj,acc
1,89.16666666666667
2,77.5
3,66.66666666666667
4,48.333333333333336
5,78.33333333333333
6,66.66666666666667
7,72.5
8,86.66666666666667
9,73.33333333333333
10,59.166666666666664
11,52.5
12,57.5
13,60.0
14,78.33333333333333
15,82.5
16,66.66666666666667
17,74.16666666666667
18,67.5
19,32.5
20,61.666666666666664
21,50.833333333333336
22,82.5
23,60.833333333333336
24,72.5
25,91.66666666666667
26,46.666666666666664
27,67.5
28,83.33333333333333
29,59.166666666666664
30,95.83333333333333
31,89.16666666666667
32,52.5
33,84.16666666666667
34,64.16666666666667
35,71.66666666666667
36,77.5
37,87.5
38,91.66666666666667
39,54.166666666666664
40,85.83333333333333
41,88.33333333333333
42,60.0
43,77.5
44,58.333333333333336
45,69.16666666666667
46,89.16666666666667
47,91.66666666666667
48,60.0
49,69.16666666666667
50,61.666666666666664
51,86.66666666666667
52,95.83333333333333
53,57.5
54,70.0
55,60.833333333333336
56,64.16666666666667
57,59.166666666666664
58,71.66666666666667
59,86.66666666666667
60,76.66666666666667

elapsed_time_sec,1775.57
