subj,acc
1,88.33333333333333
2,68.33333333333333
3,66.66666666666667
4,51.666666666666664
5,72.5
6,62.5
7,65.83333333333333
8,80.83333333333333
9,70.83333333333333
10,56.666666666666664
11,57.5
12,54.166666666666664
13,58.333333333333336
14,78.33333333333333
15,79.16666666666667
16,62.5
17,75.0
18,66.66666666666667
19,31.666666666666668
20,65.83333333333333
21,50.0
22,77.5
23,47.5
24,65.0
25,86.66666666666667
26,43.333333333333336
27,68.33333333333333
28,87.5
29,60.0
30,93.33333333333333
31,88.33333333333333
32,48.333333333333336
33,75.83333333333333
34,61.666666666666664
35,73.33333333333333
36,73.33333333333333
37,86.66666666666667
38,92.5
39,51.666666666666664
40,82.5
41,82.5
42,52.5
43,73.33333333333333
44,58.333333333333336
45,65.83333333333333
46,81.66666666666667
47,90.0
48,54.166666666666664
49,64.16666666666667
50,60.0
51,84.16666666666667
52,92.5
53,45.833333333333336
54,70.83333333333333
55,56.666666666666664
56,66.66666666666667
57,52.5
58,63.333333333333336
59,85.0
60,66.66666666666667

elapsed_time_sec,1588.84
