n_groups,n_repeats,avg,std,elapsed_time_sec
3,10,68.22222222222221,14.083470303958082,1588.8365256786346
3,30,71.25000000000001,13.988669356674722,1775.5699849128723
3,50,71.25,13.817175972384945,2380.257878303528
5,10,67.47222222222221,13.70739752518983,1364.452838897705
5,30,69.20833333333333,13.607787292576264,1532.1337540149689
5,50,69.1388888888889,13.998980342056488,1742.9292159080505
