subj,acc
1,89.16666666666667
2,79.16666666666667
3,65.83333333333333
4,54.166666666666664
5,80.83333333333333
6,73.33333333333333
7,72.5
8,90.83333333333333
9,78.33333333333333
10,60.833333333333336
11,55.0
12,61.666666666666664
13,64.16666666666667
14,79.16666666666667
15,85.83333333333333
16,76.66666666666667
17,80.83333333333333
18,71.66666666666667
19,34.166666666666664
20,65.0
21,53.333333333333336
22,87.5
23,64.16666666666667
24,72.5
25,94.16666666666667
26,45.833333333333336
27,67.5
28,85.0
29,65.83333333333333
30,95.0
31,90.0
32,55.833333333333336
33,83.33333333333333
34,62.5
35,79.16666666666667
36,79.16666666666667
37,92.5
38,92.5
39,54.166666666666664
40,85.83333333333333
41,88.33333333333333
42,54.166666666666664
43,80.0
44,58.333333333333336
45,77.5
46,91.66666666666667
47,90.83333333333333
48,58.333333333333336
49,75.0
50,64.16666666666667
51,85.83333333333333
52,95.0
53,57.5
54,75.83333333333333
55,61.666666666666664
56,69.16666666666667
57,55.833333333333336
58,75.83333333333333
59,90.0
60,75.0

elapsed_time_sec,7558.26
