subj,acc
1,90.0
2,78.33333333333333
3,65.0
4,57.5
5,80.83333333333333
6,70.83333333333333
7,70.0
8,84.16666666666667
9,78.33333333333333
10,65.83333333333333
11,51.666666666666664
12,65.0
13,68.33333333333333
14,78.33333333333333
15,77.5
16,66.66666666666667
17,80.0
18,70.0
19,32.5
20,65.83333333333333
21,55.833333333333336
22,80.83333333333333
23,61.666666666666664
24,75.83333333333333
25,82.5
26,49.166666666666664
27,65.83333333333333
28,83.33333333333333
29,68.33333333333333
30,95.0
31,87.5
32,51.666666666666664
33,80.83333333333333
34,63.333333333333336
35,79.16666666666667
36,80.83333333333333
37,85.83333333333333
38,94.16666666666667
39,52.5
40,88.33333333333333
41,87.5
42,59.166666666666664
43,76.66666666666667
44,60.0
45,70.83333333333333
46,89.16666666666667
47,88.33333333333333
48,57.5
49,72.5
50,60.833333333333336
51,87.5
52,92.5
53,59.166666666666664
54,71.66666666666667
55,60.833333333333336
56,71.66666666666667
57,60.833333333333336
58,70.83333333333333
59,87.5
60,75.83333333333333

elapsed_time_sec,2749.83
