subj,acc
1,90.0
2,77.5
3,72.5
4,55.0
5,80.83333333333333
6,69.16666666666667
7,70.0
8,87.5
9,80.83333333333333
10,62.5
11,55.0
12,59.166666666666664
13,65.0
14,84.16666666666667
15,81.66666666666667
16,66.66666666666667
17,81.66666666666667
18,72.5
19,33.333333333333336
20,65.0
21,57.5
22,82.5
23,61.666666666666664
24,67.5
25,87.5
26,41.666666666666664
27,62.5
28,83.33333333333333
29,68.33333333333333
30,93.33333333333333
31,89.16666666666667
32,48.333333333333336
33,82.5
34,66.66666666666667
35,80.0
36,78.33333333333333
37,84.16666666666667
38,94.16666666666667
39,55.833333333333336
40,82.5
41,88.33333333333333
42,55.0
43,78.33333333333333
44,59.166666666666664
45,73.33333333333333
46,90.0
47,90.0
48,55.0
49,65.0
50,60.833333333333336
51,87.5
52,95.0
53,50.833333333333336
54,75.0
55,60.0
56,70.0
57,58.333333333333336
58,78.33333333333333
59,87.5
60,75.0

elapsed_time_sec,3572.92
