subj,acc
1,91.66666666666667
2,73.33333333333333
3,64.16666666666667
4,51.666666666666664
5,80.0
6,63.333333333333336
7,66.66666666666667
8,78.33333333333333
9,71.66666666666667
10,64.16666666666667
11,51.666666666666664
12,59.166666666666664
13,56.666666666666664
14,80.83333333333333
15,80.83333333333333
16,70.0
17,76.66666666666667
18,69.16666666666667
19,33.333333333333336
20,69.16666666666667
21,50.0
22,80.0
23,55.833333333333336
24,69.16666666666667
25,87.5
26,46.666666666666664
27,62.5
28,82.5
29,66.66666666666667
30,90.0
31,85.0
32,61.666666666666664
33,70.0
34,63.333333333333336
35,70.0
36,77.5
37,85.83333333333333
38,88.33333333333333
39,53.333333333333336
40,84.16666666666667
41,86.66666666666667
42,54.166666666666664
43,71.66666666666667
44,58.333333333333336
45,65.83333333333333
46,87.5
47,91.66666666666667
48,53.333333333333336
49,59.166666666666664
50,57.5
51,82.5
52,91.66666666666667
53,42.5
54,64.16666666666667
55,55.833333333333336
56,68.33333333333333
57,55.0
58,65.0
59,85.83333333333333
60,73.33333333333333

elapsed_time_sec,1532.13
