subj,acc
1,86.66666666666667
2,80.0
3,71.66666666666667
4,51.666666666666664
5,80.0
6,72.5
7,67.5
8,85.0
9,80.83333333333333
10,62.5
11,58.333333333333336
12,61.666666666666664
13,69.16666666666667
14,85.0
15,82.5
16,72.5
17,82.5
18,72.5
19,31.666666666666668
20,70.0
21,51.666666666666664
22,84.16666666666667
23,60.833333333333336
24,70.0
25,84.16666666666667
26,45.0
27,69.16666666666667
28,90.0
29,72.5
30,93.33333333333333
31,90.83333333333333
32,52.5
33,83.33333333333333
34,66.66666666666667
35,78.33333333333333
36,79.16666666666667
37,92.5
38,95.0
39,50.0
40,85.83333333333333
41,90.83333333333333
42,60.0
43,81.66666666666667
44,59.166666666666664
45,78.33333333333333
46,92.5
47,92.5
48,62.5
49,71.66666666666667
50,69.16666666666667
51,91.66666666666667
52,95.0
53,57.5
54,80.83333333333333
55,61.666666666666664
56,70.0
57,59.166666666666664
58,76.66666666666667
59,90.0
60,74.16666666666667

elapsed_time_sec,4295.78
