subj,acc
1,88.33333333333333
2,75.83333333333333
3,67.5
4,46.666666666666664
5,80.0
6,68.33333333333333
7,66.66666666666667
8,78.33333333333333
9,74.16666666666667
10,53.333333333333336
11,49.166666666666664
12,60.0
13,58.333333333333336
14,80.83333333333333
15,80.0
16,62.5
17,73.33333333333333
18,69.16666666666667
19,33.333333333333336
20,53.333333333333336
21,52.5
22,79.16666666666667
23,56.666666666666664
24,70.0
25,85.0
26,43.333333333333336
27,59.166666666666664
28,78.33333333333333
29,65.0
30,94.16666666666667
31,89.16666666666667
32,56.666666666666664
33,70.83333333333333
34,60.833333333333336
35,80.83333333333333
36,79.16666666666667
37,87.5
38,90.83333333333333
39,55.0
40,81.66666666666667
41,88.33333333333333
42,55.0
43,73.33333333333333
44,58.333333333333336
45,65.0
46,82.5
47,87.5
48,53.333333333333336
49,69.16666666666667
50,54.166666666666664
51,85.83333333333333
52,95.0
53,50.833333333333336
54,68.33333333333333
55,61.666666666666664
56,69.16666666666667
57,50.833333333333336
58,69.16666666666667
59,83.33333333333333
60,72.5

elapsed_time_sec,1742.93
