subject,accuracy
1,92.5
2,74.16666666666667
3,45.0
4,30.833333333333332
5,61.666666666666664
6,68.33333333333333
7,62.5
8,83.33333333333333
9,65.83333333333333
10,43.333333333333336
11,53.333333333333336
12,44.166666666666664
13,53.333333333333336
14,61.666666666666664
15,82.5
16,60.833333333333336
17,70.83333333333333
18,68.33333333333333
19,40.0
20,56.666666666666664
21,51.666666666666664
22,71.66666666666667
23,66.66666666666667
24,50.833333333333336
25,75.83333333333333
26,43.333333333333336
27,57.5
28,79.16666666666667
29,65.0
30,94.16666666666667
mean_accuracy,62.50
std_accuracy,15.49
train_time_s,11.89
