subject,accuracy
1,91.66666666666667
2,82.5
3,60.833333333333336
4,42.5
5,83.33333333333333
6,70.0
7,62.5
8,87.5
9,73.33333333333333
10,59.166666666666664
11,57.5
12,63.333333333333336
13,69.16666666666667
14,79.16666666666667
15,81.66666666666667
16,70.0
17,76.66666666666667
18,67.5
19,33.333333333333336
20,55.0
21,50.833333333333336
22,83.33333333333333
23,58.333333333333336
24,56.666666666666664
25,88.33333333333333
26,50.0
27,68.33333333333333
28,90.83333333333333
29,60.833333333333336
30,96.66666666666667
31,90.83333333333333
32,43.333333333333336
33,83.33333333333333
34,64.16666666666667
35,78.33333333333333
36,83.33333333333333
37,90.83333333333333
38,93.33333333333333
39,59.166666666666664
40,86.66666666666667
41,89.16666666666667
42,60.833333333333336
43,78.33333333333333
44,60.833333333333336
45,72.5
46,91.66666666666667
47,92.5
48,56.666666666666664
49,60.833333333333336
50,57.5
51,86.66666666666667
52,97.5
53,57.5
54,81.66666666666667
55,60.0
56,71.66666666666667
57,53.333333333333336
58,68.33333333333333
59,94.16666666666667
60,71.66666666666667
