subject,accuracy
1,90.83333333333333
2,79.16666666666667
3,74.16666666666667
4,49.166666666666664
5,77.5
6,70.0
7,68.33333333333333
8,84.16666666666667
9,76.66666666666667
10,64.16666666666667
11,54.166666666666664
12,63.333333333333336
13,61.666666666666664
14,83.33333333333333
15,84.16666666666667
16,73.33333333333333
17,79.16666666666667
18,72.5
19,35.0
20,68.33333333333333
21,53.333333333333336
22,88.33333333333333
23,58.333333333333336
24,70.0
25,85.83333333333333
26,46.666666666666664
27,70.83333333333333
28,91.66666666666667
29,69.16666666666667
30,93.33333333333333
31,91.66666666666667
32,53.333333333333336
33,82.5
34,66.66666666666667
35,79.16666666666667
36,76.66666666666667
37,90.83333333333333
38,91.66666666666667
39,53.333333333333336
40,85.83333333333333
41,89.16666666666667
42,60.0
43,80.83333333333333
44,61.666666666666664
45,77.5
46,91.66666666666667
47,92.5
48,54.166666666666664
49,72.5
50,62.5
51,90.83333333333333
52,96.66666666666667
53,58.333333333333336
54,77.5
55,55.0
56,66.66666666666667
57,59.166666666666664
58,69.16666666666667
59,90.0
60,72.5
