subject,accuracy
1,92.5
2,73.33333333333333
3,54.166666666666664
4,34.166666666666664
5,69.16666666666667
6,64.16666666666667
7,63.333333333333336
8,84.16666666666667
9,61.666666666666664
10,45.833333333333336
11,47.5
12,45.833333333333336
13,54.166666666666664
14,70.0
15,75.0
16,62.5
17,69.16666666666667
18,66.66666666666667
19,37.5
20,55.833333333333336
21,60.0
22,67.5
23,69.16666666666667
24,58.333333333333336
25,76.66666666666667
26,43.333333333333336
27,54.166666666666664
28,80.0
29,67.5
30,90.0
mean_accuracy,63.11
std_accuracy,14.39
train_time_s,13.91
