subject,accuracy
1,86.66666666666667
2,71.66666666666667
3,45.833333333333336
4,30.0
5,60.833333333333336
6,64.16666666666667
7,57.5
8,80.83333333333333
9,60.0
10,45.833333333333336
11,54.166666666666664
12,45.833333333333336
13,58.333333333333336
14,63.333333333333336
15,80.83333333333333
16,58.333333333333336
17,62.5
18,67.5
19,36.666666666666664
20,65.0
21,53.333333333333336
22,65.0
23,70.83333333333333
24,57.5
25,70.0
26,41.666666666666664
27,54.166666666666664
28,70.0
29,65.83333333333333
30,86.66666666666667
mean_accuracy,61.03
std_accuracy,13.65
train_time_s,13.08
