subject,accuracy
1,95.00
2,73.33
3,60.83
4,42.50
5,68.33
6,71.67
7,68.33
8,83.33
9,66.67
10,52.50
11,46.67
12,60.00
13,65.00
14,69.17
15,72.50
16,59.17
17,72.50
18,69.17
19,33.33
20,57.50
21,58.33
22,75.83
23,53.33
24,48.33
25,76.67
26,45.00
27,57.50
28,85.83
29,64.17
30,92.50

mean_accuracy,64.83
std_accuracy,14.40
train_time_s,71.02
