subject,accuracy
1,96.67
2,79.17
3,53.33
4,38.33
5,76.67
6,70.00
7,60.00
8,84.17
9,65.00
10,47.50
11,47.50
12,55.83
13,61.67
14,74.17
15,75.00
16,51.67
17,75.83
18,67.50
19,32.50
20,45.83
21,49.17
22,82.50
23,54.17
24,50.00
25,79.17
26,45.83
27,61.67
28,90.00
29,65.00
30,93.33

mean_accuracy,64.31
std_accuracy,16.73
train_time_s,97.47
avg_epoch_time_s,0.9657
early_stopped_epoch,100
mean_inference_time_per_trial_s,0.000033
