subject,accuracy
1,93.33333333333333
2,74.16666666666667
3,50.0
4,35.0
5,70.0
6,66.66666666666667
7,62.5
8,85.83333333333333
9,65.0
10,46.666666666666664
11,49.166666666666664
12,41.666666666666664
13,54.166666666666664
14,70.83333333333333
15,75.83333333333333
16,64.16666666666667
17,70.83333333333333
18,68.33333333333333
19,39.166666666666664
20,60.0
21,57.5
22,71.66666666666667
23,69.16666666666667
24,55.833333333333336
25,74.16666666666667
26,44.166666666666664
27,56.666666666666664
28,80.0
29,69.16666666666667
30,92.5
mean_accuracy,63.81
std_accuracy,14.81
train_time_s,11.36
