subject,accuracy
1,97.50
2,82.50
3,66.67
4,43.33
5,81.67
6,75.00
7,68.33
8,90.00
9,70.83
10,61.67
11,50.83
12,65.83
13,66.67
14,75.83
15,86.67
16,66.67
17,85.00
18,69.17
19,35.00
20,52.50
21,58.33
22,87.50
23,55.83
24,52.50
25,89.17
26,52.50
27,64.17
28,89.17
29,65.83
30,94.17

mean_accuracy,70.03
std_accuracy,15.94
train_time_s,343.03
avg_epoch_time_s,3.8015
early_stopped_epoch,80
mean_inference_time_per_trial_s,0.000107
