subject,accuracy
1,95.0
2,63.333333333333336
3,55.833333333333336
4,32.5
5,63.333333333333336
6,72.5
7,64.16666666666667
8,75.83333333333333
9,63.333333333333336
10,46.666666666666664
11,36.666666666666664
12,45.0
13,51.666666666666664
14,65.0
15,77.5
16,58.333333333333336
17,70.0
18,70.0
19,40.833333333333336
20,42.5
21,59.166666666666664
22,64.16666666666667
23,64.16666666666667
24,43.333333333333336
25,71.66666666666667
26,37.5
27,52.5
28,78.33333333333333
29,65.0
30,87.5
mean_accuracy,60.44
std_accuracy,15.32
train_time_s,15.04
